Drug1,Drug2,Cell line,label
AZD0156,AZD1775,HuCCT1,0
AZD0156,AZD1775,HuH-7,0
AZD0156,AZD1775,IGR-1,0
AZD0156,AZD1775,JHH-1,0
AZD0156,AZD1775,JHH-6,0
AZD0156,AZD1775,JHH-7,0
AZD0156,AZD1775,JURL-MK1,1
AZD0156,AZD1775,JVM-3,0
AZD0156,AZD1775,K-562,0
AZD0156,AZD1775,KARPAS-620,1
AZD0156,AZD1775,KCL-22,0
AZD0156,AZD1775,KE-37,1
AZD0156,AZD1775,KM-H2,1
AZD0156,AZD1775,KM12,0
AZD0156,AZD1775,KMRC-1,0
AZD0156,AZD1775,KNS-62,0
AZD0156,AZD1775,KOPN-8,0
AZD0156,AZD1775,KP-2,0
AZD0156,AZD1775,KURAMOCHI,0
AZD0156,AZD1775,KYM-1,0
AZD0156,AZD1775,KYSE-150,0
AZD0156,AZD1775,KYSE-410,0
AZD0156,AZD1775,KYSE-450,0
AZD0156,AZD1775,KYSE-520,0
AZD0156,AZD1775,L-363,1
AZD0156,AZD1775,L-428,1
AZD0156,AZD1775,L-540,1
AZD0156,AZD1775,LK-2,0
AZD0156,AZD1775,LN-18,0
AZD0156,AZD1775,LN-229,0
AZD0156,AZD1775,LoVo,0
AZD0156,AZD1775,MCF7,0
AZD0156,AZD1775,MDA-MB-157,0
AZD0156,AZD1775,MDA-MB-415,0
AZD0156,AZD1775,MDA-MB-436,0
AZD0156,AZD1775,MDA-MB-453,0
AZD0156,AZD1775,ME-1,0
AZD0156,AZD1775,MEG-01,1
AZD0156,AZD1775,MEL-JUSO,1
AZD0156,AZD1775,MFE-296,0
AZD0156,AZD1775,MFE-319,0
AZD0156,AZD1775,MG-63,0
AZD0156,AZD1775,MOLP-8,0
AZD0156,AZD1775,MOLT-13,1
AZD0156,AZD1775,MOLT-16,0
AZD0156,AZD1775,MSTO-211H,1
AZD0156,AZD1775,MV-4-11,0
AZD0156,AZD1775,NALM-6,1
AZD0156,AZD1775,NCI-H1092,0
AZD0156,AZD1775,NCI-H1155,0
AZD0156,AZD1775,NCI-H1355,0
AZD0156,AZD1775,NCI-H1568,0
AZD0156,AZD1775,NCI-H1573,0
AZD0156,AZD1775,NCI-H1581,0
AZD0156,AZD1775,NCI-H1650,0
AZD0156,AZD1775,NCI-H1666,0
AZD0156,AZD1775,NCI-H1693,0
AZD0156,AZD1775,NCI-H1755,0
AZD0156,AZD1775,NCI-H1793,0
AZD0156,AZD1775,NCI-H1876,1
AZD0156,AZD1775,NCI-H196,0
AZD0156,AZD1775,NCI-H1963,0
AZD0156,AZD1775,NCI-H1975,1
AZD0156,AZD1775,NCI-H2052,0
AZD0156,AZD1775,NCI-H2066,0
AZD0156,AZD1775,NCI-H2085,0
AZD0156,AZD1775,NCI-H2122,1
AZD0156,AZD1775,NCI-H2170,1
AZD0156,AZD1775,NCI-H2228,0
AZD0156,AZD1775,NCI-H2342,0
AZD0156,AZD1775,NCI-H2347,0
AZD0156,AZD1775,NCI-H2405,0
AZD0156,AZD1775,NCI-H441,0
AZD0156,AZD1775,NCI-H446,0
AZD0156,AZD1775,NCI-H520,0
AZD0156,AZD1775,NCI-H526,0
AZD0156,AZD1775,NCI-H596,1
AZD0156,AZD1775,NCI-H650,0
AZD0156,AZD1775,NCI-H716,1
AZD0156,AZD1775,NCI-H727,0
AZD0156,AZD1775,NCI-H747,0
AZD0156,AZD1775,NCI-H929,0
AZD0156,AZD1775,NMC-G1,0
AZD0156,AZD1775,NOMO-1,1
AZD0156,AZD1775,OCI-AML2,0
AZD0156,AZD1775,OCI-AML5,0
AZD0156,AZD1775,OCI-M1,1
AZD0156,AZD1775,OE33,1
AZD0156,AZD1775,ONS-76,0
AZD0156,AZD1775,OPM-2,0
AZD0156,AZD1775,OVCAR-3,0
AZD0156,AZD1775,OVCAR-4,0
AZD0156,AZD1775,OVCAR-8,1
AZD0156,AZD1775,PA-TU-8902,0
AZD0156,AZD1775,PA-TU-8988T,0
AZD0156,AZD1775,PC-14,0
AZD0156,AZD1775,RCM-1,0
AZD0156,AZD1775,RD,0
AZD0156,AZD1775,RERF-LC-Sq1,1
AZD0156,AZD1775,RKO,0
AZD0156,AZD1775,RL95-2,0
AZD0156,AZD1775,RMG-I,0
AZD0156,AZD1775,RVH-421,0
AZD0156,AZD1775,Raji,0
AZD0156,AZD1775,SBC-5,0
AZD0156,AZD1775,SCC-9,0
AZD0156,AZD1775,SF268,0
AZD0156,AZD1775,SHP-77,0
AZD0156,AZD1775,SK-CO-1,0
AZD0156,AZD1775,SK-ES-1,1
AZD0156,AZD1775,SK-HEP-1,0
AZD0156,AZD1775,SK-MEL-24,0
AZD0156,AZD1775,SK-MM-2,1
AZD0156,AZD1775,SK-N-AS,0
AZD0156,AZD1775,SK-N-SH,0
AZD0156,AZD1775,SK-OV-3,0
AZD0156,AZD1775,SK-UT-1,0
AZD0156,AZD1775,SNU-16,0
AZD0156,AZD1775,SNU-175,1
AZD0156,AZD1775,SNU-387,0
AZD0156,AZD1775,SNU-423,0
AZD0156,AZD1775,SNU-449,0
AZD0156,AZD1775,SNU-5,0
AZD0156,AZD1775,SNU-C5,0
AZD0156,AZD1775,SR,0
AZD0156,AZD1775,ST486,1
AZD0156,AZD1775,SU-DHL-8,1
AZD0156,AZD1775,SUIT-2,1
AZD0156,AZD1775,SUP-B15,1
AZD0156,AZD1775,SW1116,0
AZD0156,AZD1775,SW1463,0
AZD0156,AZD1775,SW48,0
AZD0156,AZD1775,Saos-2,0
AZD0156,AZD1775,SiHa,0
AZD0156,AZD1775,T84,0
AZD0156,AZD1775,TCCSUP,0
AZD0156,AZD1775,TE-10,0
AZD0156,AZD1775,TE-15,0
AZD0156,AZD1775,TE-6,0
AZD0156,AZD1775,TE-9,0
AZD0156,AZD1775,TGBC11TKB,0
AZD0156,AZD1775,TT,0
AZD0156,AZD1775,TYK-nu,0
AZD0156,AZD1775,U251,1
AZD0156,AZD1775,UACC-812,0
AZD0156,AZD1775,VCaP,0
AZD0156,AZD1775,VMRC-RCZ,0
AZD0156,AZD1775,YAPC,0
AZD0156,AZD1775,YH-13,0
AZD0156,AZD1775,ZR-75-30,0
AZD0156,AZD2811,5637,1
AZD0156,AZD2811,639-V,1
AZD0156,AZD2811,647-V,1
AZD0156,AZD2811,786-0,0
AZD0156,AZD2811,8305C,0
AZD0156,AZD2811,8505C,0
AZD0156,AZD2811,A2058,0
AZD0156,AZD2811,A2780,1
AZD0156,AZD2811,A498,0
AZD0156,AZD2811,ALL-SIL,0
AZD0156,AZD2811,AM-38,1
AZD0156,AZD2811,AMO-1,1
AZD0156,AZD2811,B-CPAP,0
AZD0156,AZD2811,BFTC-905,1
AZD0156,AZD2811,BHT-101,0
AZD0156,AZD2811,BT-474,0
AZD0156,AZD2811,BV-173,0
AZD0156,AZD2811,BxPC-3,0
AZD0156,AZD2811,CA46,1
AZD0156,AZD2811,CADO-ES1,1
AZD0156,AZD2811,CAL-120,0
AZD0156,AZD2811,CAL-33,0
AZD0156,AZD2811,CAL-51,1
AZD0156,AZD2811,CAL-54,0
AZD0156,AZD2811,CAL-85-1,0
AZD0156,AZD2811,CAMA-1,0
AZD0156,AZD2811,CAS-1,1
AZD0156,AZD2811,CFPAC-1,0
AZD0156,AZD2811,CHP-212,0
AZD0156,AZD2811,CL-11,0
AZD0156,AZD2811,COLO-680N,0
AZD0156,AZD2811,COR-L105,0
AZD0156,AZD2811,COR-L23,0
AZD0156,AZD2811,COR-L88,0
AZD0156,AZD2811,CW-2,0
AZD0156,AZD2811,Calu-3,0
AZD0156,AZD2811,DAN-G,1
AZD0156,AZD2811,DBTRG-05MG,0
AZD0156,AZD2811,DEL,1
AZD0156,AZD2811,DU-145,0
AZD0156,AZD2811,Daudi,1
AZD0156,AZD2811,EBC-1,0
AZD0156,AZD2811,EFM-192A,0
AZD0156,AZD2811,EFO-21,0
AZD0156,AZD2811,EJM,1
AZD0156,AZD2811,EN,1
AZD0156,AZD2811,EPLC-272H,1
AZD0156,AZD2811,ES-2,0
AZD0156,AZD2811,FU97,0
AZD0156,AZD2811,G-361,0
AZD0156,AZD2811,G-401,0
AZD0156,AZD2811,GB-1,0
AZD0156,AZD2811,GCIY,0
AZD0156,AZD2811,GCT,0
AZD0156,AZD2811,HARA,1
AZD0156,AZD2811,HCC-15,0
AZD0156,AZD2811,HCC1143,1
AZD0156,AZD2811,HCC1419,0
AZD0156,AZD2811,HCC1428,0
AZD0156,AZD2811,HCC1500,0
AZD0156,AZD2811,HCC1954,0
AZD0156,AZD2811,HCC2157,1
AZD0156,AZD2811,HCC38,0
AZD0156,AZD2811,HCT-15,1
AZD0156,AZD2811,HDLM-2,0
AZD0156,AZD2811,HDQ-P1,0
AZD0156,AZD2811,HL-60,0
AZD0156,AZD2811,HOP-62,0
AZD0156,AZD2811,HOP-92,1
AZD0156,AZD2811,HSC-2,1
AZD0156,AZD2811,HSC-3,0
AZD0156,AZD2811,HSC-4,0
AZD0156,AZD2811,HT-1376,0
AZD0156,AZD2811,HT-144,1
AZD0156,AZD2811,HT-29,0
AZD0156,AZD2811,HuCCT1,0
AZD0156,AZD2811,HuH-7,0
AZD0156,AZD2811,IA-LM,0
AZD0156,AZD2811,IST-MES1,0
AZD0156,AZD2811,J82,1
AZD0156,AZD2811,JHH-1,0
AZD0156,AZD2811,JHH-7,0
AZD0156,AZD2811,JIMT-1,0
AZD0156,AZD2811,JJN-3,1
AZD0156,AZD2811,JVM-3,0
AZD0156,AZD2811,KALS-1,0
AZD0156,AZD2811,KARPAS-299,1
AZD0156,AZD2811,KCL-22,1
AZD0156,AZD2811,KE-37,0
AZD0156,AZD2811,KELLY,1
AZD0156,AZD2811,KM12,0
AZD0156,AZD2811,KMRC-1,0
AZD0156,AZD2811,KMRC-20,0
AZD0156,AZD2811,KOPN-8,1
AZD0156,AZD2811,KP-2,0
AZD0156,AZD2811,KP-3,0
AZD0156,AZD2811,KU-19-19,1
AZD0156,AZD2811,KURAMOCHI,0
AZD0156,AZD2811,KYM-1,0
AZD0156,AZD2811,KYSE-180,0
AZD0156,AZD2811,KYSE-270,0
AZD0156,AZD2811,KYSE-410,0
AZD0156,AZD2811,KYSE-70,1
AZD0156,AZD2811,L-1236,0
AZD0156,AZD2811,L-363,1
AZD0156,AZD2811,LAMA-84,0
AZD0156,AZD2811,LCLC-103H,0
AZD0156,AZD2811,LCLC-97TM1,1
AZD0156,AZD2811,LN-229,0
AZD0156,AZD2811,LOU-NH91,0
AZD0156,AZD2811,LXF-289,1
AZD0156,AZD2811,MDA-MB-157,0
AZD0156,AZD2811,MDA-MB-175-VII,0
AZD0156,AZD2811,MDA-MB-231,0
AZD0156,AZD2811,MDA-MB-468,0
AZD0156,AZD2811,MDST8,1
AZD0156,AZD2811,ME-1,0
AZD0156,AZD2811,MFE-280,1
AZD0156,AZD2811,MFE-296,0
AZD0156,AZD2811,MFE-319,0
AZD0156,AZD2811,MOLM-13,0
AZD0156,AZD2811,MOLP-8,0
AZD0156,AZD2811,MOLT-13,1
AZD0156,AZD2811,MONO-MAC-6,1
AZD0156,AZD2811,MSTO-211H,0
AZD0156,AZD2811,MV-4-11,0
AZD0156,AZD2811,NCI-H1092,0
AZD0156,AZD2811,NCI-H1155,0
AZD0156,AZD2811,NCI-H1299,0
AZD0156,AZD2811,NCI-H1435,0
AZD0156,AZD2811,NCI-H1568,0
AZD0156,AZD2811,NCI-H1573,0
AZD0156,AZD2811,NCI-H1650,0
AZD0156,AZD2811,NCI-H1651,0
AZD0156,AZD2811,NCI-H1666,0
AZD0156,AZD2811,NCI-H1703,1
AZD0156,AZD2811,NCI-H1781,1
AZD0156,AZD2811,NCI-H1793,0
AZD0156,AZD2811,NCI-H196,0
AZD0156,AZD2811,NCI-H1963,0
AZD0156,AZD2811,NCI-H1975,1
AZD0156,AZD2811,NCI-H2052,0
AZD0156,AZD2811,NCI-H2066,0
AZD0156,AZD2811,NCI-H2085,0
AZD0156,AZD2811,NCI-H2122,1
AZD0156,AZD2811,NCI-H226,0
AZD0156,AZD2811,NCI-H23,0
AZD0156,AZD2811,NCI-H2405,0
AZD0156,AZD2811,NCI-H2452,0
AZD0156,AZD2811,NCI-H28,0
AZD0156,AZD2811,NCI-H441,0
AZD0156,AZD2811,NCI-H446,0
AZD0156,AZD2811,NCI-H520,1
AZD0156,AZD2811,NCI-H526,1
AZD0156,AZD2811,NCI-H650,0
AZD0156,AZD2811,NCI-H661,0
AZD0156,AZD2811,NCI-H747,0
AZD0156,AZD2811,NCI-H810,1
AZD0156,AZD2811,NCI-H82,1
AZD0156,AZD2811,NMC-G1,0
AZD0156,AZD2811,NOMO-1,1
AZD0156,AZD2811,NUGC-3,1
AZD0156,AZD2811,OCI-AML5,0
AZD0156,AZD2811,OCI-M1,1
AZD0156,AZD2811,OCUM-1,1
AZD0156,AZD2811,ONS-76,0
AZD0156,AZD2811,OPM-2,1
AZD0156,AZD2811,OS-RC-2,0
AZD0156,AZD2811,OVCAR-4,0
AZD0156,AZD2811,OVCAR-5,0
AZD0156,AZD2811,OVCAR-8,1
AZD0156,AZD2811,OVTOKO,0
AZD0156,AZD2811,PA-TU-8902,0
AZD0156,AZD2811,PA-TU-8988T,1
AZD0156,AZD2811,PSN1,0
AZD0156,AZD2811,RCC10RGB,0
AZD0156,AZD2811,RCM-1,0
AZD0156,AZD2811,RERF-LC-Sq1,1
AZD0156,AZD2811,RH-18,0
AZD0156,AZD2811,RH-41,1
AZD0156,AZD2811,RL95-2,1
AZD0156,AZD2811,RMG-I,0
AZD0156,AZD2811,RPMI-7951,0
AZD0156,AZD2811,RVH-421,0
AZD0156,AZD2811,Raji,1
AZD0156,AZD2811,SBC-5,1
AZD0156,AZD2811,SCC-9,0
AZD0156,AZD2811,SF268,0
AZD0156,AZD2811,SF539,0
AZD0156,AZD2811,SIMA,0
AZD0156,AZD2811,SJSA-1,0
AZD0156,AZD2811,SK-CO-1,1
AZD0156,AZD2811,SK-LU-1,0
AZD0156,AZD2811,SK-MEL-1,0
AZD0156,AZD2811,SK-MEL-24,0
AZD0156,AZD2811,SK-N-AS,0
AZD0156,AZD2811,SK-N-DZ,1
AZD0156,AZD2811,SK-N-FI,0
AZD0156,AZD2811,SN12C,0
AZD0156,AZD2811,SNG-M,0
AZD0156,AZD2811,SNU-1,1
AZD0156,AZD2811,SNU-398,0
AZD0156,AZD2811,SNU-407,0
AZD0156,AZD2811,SNU-423,0
AZD0156,AZD2811,SNU-61,0
AZD0156,AZD2811,SNU-C1,0
AZD0156,AZD2811,SNU-C5,1
AZD0156,AZD2811,SU-DHL-10,0
AZD0156,AZD2811,SU-DHL-5,0
AZD0156,AZD2811,SU-DHL-8,1
AZD0156,AZD2811,SUP-T1,1
AZD0156,AZD2811,SW1116,0
AZD0156,AZD2811,SW1417,0
AZD0156,AZD2811,SW620,0
AZD0156,AZD2811,SW837,0
AZD0156,AZD2811,Saos-2,1
AZD0156,AZD2811,TC-71,1
AZD0156,AZD2811,TCCSUP,0
AZD0156,AZD2811,TE-10,1
AZD0156,AZD2811,TE-5,0
AZD0156,AZD2811,TE-6,1
AZD0156,AZD2811,TE-9,0
AZD0156,AZD2811,TT,0
AZD0156,AZD2811,TYK-nu,0
AZD0156,AZD2811,U251,1
AZD0156,AZD2811,UACC-812,0
AZD0156,AZD2811,UM-UC-3,0
AZD0156,AZD2811,VCaP,0
AZD0156,AZD2811,WSU-DLCL2,1
AZD0156,AZD2811,YAPC,0
AZD0156,AZD2811,YH-13,0
AZD0156,AZD4320,42-MG-BA,0
AZD0156,AZD4320,5637,0
AZD0156,AZD4320,639-V,0
AZD0156,AZD4320,786-0,0
AZD0156,AZD4320,8-MG-BA,0
AZD0156,AZD4320,8305C,0
AZD0156,AZD4320,A2058,0
AZD0156,AZD4320,A2780,0
AZD0156,AZD4320,A498,0
AZD0156,AZD4320,ALL-SIL,1
AZD0156,AZD4320,AM-38,1
AZD0156,AZD4320,AMO-1,0
AZD0156,AZD4320,BFTC-905,0
AZD0156,AZD4320,BFTC-909,1
AZD0156,AZD4320,BL-41,1
AZD0156,AZD4320,BT-549,0
AZD0156,AZD4320,BV-173,0
AZD0156,AZD4320,BxPC-3,0
AZD0156,AZD4320,CA46,1
AZD0156,AZD4320,CADO-ES1,1
AZD0156,AZD4320,CAL-120,0
AZD0156,AZD4320,CAL-33,1
AZD0156,AZD4320,CAL-51,0
AZD0156,AZD4320,CAL-54,0
AZD0156,AZD4320,CAS-1,0
AZD0156,AZD4320,CCRF-CEM,1
AZD0156,AZD4320,CFPAC-1,0
AZD0156,AZD4320,CML-T1,1
AZD0156,AZD4320,COLO-678,0
AZD0156,AZD4320,COLO-679,0
AZD0156,AZD4320,COR-L23,0
AZD0156,AZD4320,COR-L279,1
AZD0156,AZD4320,COR-L311,1
AZD0156,AZD4320,CW-2,0
AZD0156,AZD4320,Calu-3,0
AZD0156,AZD4320,Caov-4,0
AZD0156,AZD4320,DEL,1
AZD0156,AZD4320,DK-MG,0
AZD0156,AZD4320,DND-41,0
AZD0156,AZD4320,Daudi,0
AZD0156,AZD4320,EC-GI-10,0
AZD0156,AZD4320,ECC10,1
AZD0156,AZD4320,EFO-21,0
AZD0156,AZD4320,EJM,1
AZD0156,AZD4320,EKVX,0
AZD0156,AZD4320,ES-2,0
AZD0156,AZD4320,ESS-1,1
AZD0156,AZD4320,FTC-133,1
AZD0156,AZD4320,G-401,0
AZD0156,AZD4320,G-402,0
AZD0156,AZD4320,GA-10,1
AZD0156,AZD4320,GCIY,1
AZD0156,AZD4320,GCT,0
AZD0156,AZD4320,GDM-1,0
AZD0156,AZD4320,H4,0
AZD0156,AZD4320,HARA,1
AZD0156,AZD4320,HCC-78,0
AZD0156,AZD4320,HCC1395,0
AZD0156,AZD4320,HCC1419,0
AZD0156,AZD4320,HCC1428,1
AZD0156,AZD4320,HCC1937,1
AZD0156,AZD4320,HCC1954,1
AZD0156,AZD4320,HCC2157,1
AZD0156,AZD4320,HCT-116,0
AZD0156,AZD4320,HCT-15,0
AZD0156,AZD4320,HDLM-2,0
AZD0156,AZD4320,HH,0
AZD0156,AZD4320,HL-60,1
AZD0156,AZD4320,HOP-62,0
AZD0156,AZD4320,HSC-2,0
AZD0156,AZD4320,HSC-3,0
AZD0156,AZD4320,HSC-4,0
AZD0156,AZD4320,HT-1376,0
AZD0156,AZD4320,HT-29,0
AZD0156,AZD4320,HT55,0
AZD0156,AZD4320,HuH-7,0
AZD0156,AZD4320,IGR-37,0
AZD0156,AZD4320,IST-MES1,0
AZD0156,AZD4320,JHH-2,0
AZD0156,AZD4320,JHH-4,0
AZD0156,AZD4320,JHH-6,0
AZD0156,AZD4320,JJN-3,1
AZD0156,AZD4320,JURL-MK1,0
AZD0156,AZD4320,JVM-2,1
AZD0156,AZD4320,KARPAS-422,1
AZD0156,AZD4320,KARPAS-620,1
AZD0156,AZD4320,KCL-22,1
AZD0156,AZD4320,KLE,0
AZD0156,AZD4320,KM-H2,0
AZD0156,AZD4320,KM12,0
AZD0156,AZD4320,KMS-12-BM,1
AZD0156,AZD4320,KNS-62,0
AZD0156,AZD4320,KOPN-8,0
AZD0156,AZD4320,KU-19-19,0
AZD0156,AZD4320,KURAMOCHI,0
AZD0156,AZD4320,KYM-1,0
AZD0156,AZD4320,KYSE-180,0
AZD0156,AZD4320,KYSE-270,0
AZD0156,AZD4320,KYSE-410,0
AZD0156,AZD4320,KYSE-70,0
AZD0156,AZD4320,L-428,1
AZD0156,AZD4320,L-540,1
AZD0156,AZD4320,LCLC-97TM1,0
AZD0156,AZD4320,LK-2,1
AZD0156,AZD4320,LN-229,0
AZD0156,AZD4320,LoVo,0
AZD0156,AZD4320,MCF7,0
AZD0156,AZD4320,MDA-MB-157,0
AZD0156,AZD4320,MDA-MB-361,0
AZD0156,AZD4320,MDA-MB-415,0
AZD0156,AZD4320,MDA-MB-436,0
AZD0156,AZD4320,MDST8,0
AZD0156,AZD4320,ME-1,0
AZD0156,AZD4320,MEG-01,0
AZD0156,AZD4320,MFE-280,1
AZD0156,AZD4320,MFE-296,0
AZD0156,AZD4320,MG-63,0
