DrugName,CIDs,smiles
1869912-40-2,118693658,C[C@@H]1C(=O)N(CCN1CCOC2=CC=C(C=C2)C3CCN(CC3)C4=NN5C(=NN=C5OC)C=C4)C.C1=CC2=C(C=CC(=C2)O)C=C1C(=O)O
193746-75-7,9863367,COC1=NC=CC(=N1)C2=C(N=CN2C3CCNCC3)C4=CC=C(C=C4)F
198474-05-4,23063810,C1C(C(=O)NC1=O)C2=CNC3=C2C=C(C=C3)F
199433-58-4,9810884,C[C@H](C1=CC=C(C=C1)C(=O)NC2=C3C=CNC3=NC=C2)N
2-FLUORO ARA-A,657237,C1=NC2=C(N=C(N=C2N1[C@H]3[C@H]([C@@H]([C@H](O3)CO)O)O)F)N
2-Fluoroadenosine,8975,C1=NC2=C(N=C(N=C2N1[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)F)N
2-METHOXYESTRADIOL (2-MEOE2),66414,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=C(C=C34)OC)O
"2-Propenoic acid, 3-[4-(1H-imidazol-1-ylmethyl)phenyl]-, (Z)-",6604437,C1=CC(=CC=C1CN2C=CN=C2)/C=C\C(=O)O
2-THIOURACIL,1269845,C1=CNC(=S)NC1=O
2-[4-[3-[(4-Oxidanylidene-3~{h}-Phthalazin-1-Yl)methyl]phenyl]carbonylpiperazin-1-Yl]pyridine-3-Carbonitrile,92045137,C1CN(CCN1C2=C(C=CC=N2)C#N)C(=O)C3=CC=CC(=C3)CC4=NNC(=O)C5=CC=CC=C54
2-propylpentanoate,3549980,CCCC(CCC)C(=O)[O-]
20-HYDROXYECDYSONE,5459840,C[C@]12CC[C@H]3C(=CC(=O)[C@H]4[C@@]3(C[C@@H]([C@@H](C4)O)O)C)[C@@]1(CC[C@@H]2[C@](C)([C@@H](CCC(C)(C)O)O)O)O
200484-11-3,148198,C1=CC(=CC=C1OCCCCCCN=C(NC#N)NC2=CC=NC=C2)Cl
201943-63-7,9819927,C1[C@@H]([C@H]1[C@@](CC2C3=CC=CC=C3OC4=CC=CC=C24)(C(=O)O)N)C(=O)O
211915-06-9,135565674,CCCCCCOC(=O)NC(=N)C1=CC=C(C=C1)NCC2=NC3=C(N2C)C=CC(=C3)C(=O)N(CCC(=O)OCC)C4=CC=CC=N4
215303-72-3,3008319,C1=CC=C(C=C1)CCCN2C(=NC(=C2C3=CC=NC=C3)C4=CC=C(C=C4)F)C#CCCO
217645-70-0,512282,C[C@@H]1CN(CCN1C(=O)COC2=C(C=C(C=C2)Cl)NC(=O)N)CC3=CC=C(C=C3)F
218137-86-1,4248455,CCCCCCCCC1C(C(=C)C(=O)O1)C(=O)O
227088-94-0,9804433,C1C(=O)N(C(=O)S1)C(CCC2=CC=NC=C2)COC3=CC=C(C=C3)C4=CC(=CC=C4)[N+](=O)[O-]
252003-65-9,9811611,C1CCN(C1)CCCCNC(=O)NC2=C(C(=NS2)OCC3=C(C=C(C=C3F)Br)F)C(=O)N
252916-29-3,5329099,CC1=C(NC(=C1CCC(=O)O)C)/C=C\2/C3=CC=CC=C3NC2=O
289483-69-8,196970,CC1=C2C(=CNC2=C(C=C1)NS(=O)(=O)C3=CC=CC(=C3)C#N)C#N
"3-(3,4-dihydroxyphenyl)prop-2-enoic acid",689043,C1=CC(=C(C=C1/C=C/C(=O)O)O)O
3-AMINO-2-OXAZOLIDINONE,65725,C1COC(=O)N1N
3-BDO,16216349,C1C(C(=O)OC1COC2=CC=CC=C2[N+](=O)[O-])CC3=CC=CC=C3
3-Bromopyruvate,70684,C(C(=O)C(=O)O)Br
3-DEAZANEPLANOCIN A (DZNEP),92541493,C1=CN=C(C2=C1N(C=N2)[C@@H]3C=C([C@H]([C@@H]3O)O)CO)N
3-Deazaneplanocin A,73087,C1=CN=C(C2=C1N(C=N2)[C@@H]3C=C([C@H]([C@H]3O)O)CO)N
3-INDOLEBUTYRIC ACID (IBA),8617,C1=CC=C2C(=C1)C(=CN2)CCCC(=O)O
3-METHYLADENINE,135398661,CN1C=NC(=N)C2=C1N=CN2
303727-31-3,9950176,C1=CC=C(C=C1)C2=NC(=C(N2)C3=CC=NC=C3)C4=CC(=C(C=C4)Cl)O
308246-52-8,397888,COC1=C(C=C2C(=C1)C3=C(C4=CC5=C(C=C4C3=O)OCO5)N(C2=O)CCCNCCO)OC
309928-48-1,2888648,CS(=O)(=O)N(CC1=CC=CO1)CC(CN2C3=CC=CC=C3C4=CC=CC=C42)O
314042-01-8,1067700,CC1(CC2=C(CO1)SC(=C2C(=O)O)NC(=S)NC(=O)C3=CC=CC=C3)C
315703-52-7,1069686,CCOC1=CC=C(C=C1)NC2=NC(=CS2)C3=C(N=C4N3C=CC=C4)C
317318-70-0,9803963,CC1=C(C=CC(=C1)SCC2=C(N=C(S2)C3=CC=C(C=C3)C(F)(F)F)C)OCC(=O)O
319460-94-1,9934283,CC1=NN(C(=C1)C(=O)NC2=C(C=CC(=C2)NC3=CC4=C(C=C3)C(=NN4)/C=C/C5=CC=CC=N5)F)C
342641-94-5,3086686,CCN(CC)CCNC(=O)C1=C(NC(=C1C)C=C2C3=C(C=CC(=C3)F)NC2=O)C
34793-34-5,13988706,COC1=NC(=NC2=C1N=CN2[C@H]3[C@@H]([C@H]([C@H](O3)CO)O)O)N
35922-06-6,10070893,CCCCCCCCCCCCCC(=O)N[C@H](CO)[C@@H](C1=CC=C(C=C1)[N+](=O)[O-])O
372196-67-3,10275789,CC1=C(C=C(C=C1)[N+](=O)[O-])S(=O)(=O)N(C)/N=C/C2=CN=C3N2C=C(C=C3)Br
38194-50-2,1548887,CC\1=C(C2=C(/C1=C\C3=CC=C(C=C3)S(=O)C)C=CC(=C2)F)CC(=O)O
4-AMINOSALICYLIC ACID,4649,C1=CC(=C(C=C1N)O)C(=O)O
4-Hydroxyandrostenedione,11273,C[C@]12CCC(=O)C(=C1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CCC4=O)C)O
4-METHYLUMBELLIFERONE (4-MU),5280567,CC1=CC(=O)OC2=C1C=CC(=C2)O
4-Quinazolinamine,84759,C1=CC=C2C(=C1)C(=NC=N2)N
"4-[4-(4-methoxyphenyl)-5-methyl-1H-pyrazol-3-yl]benzene-1,3-diol",764764,CC1=C(C(=NN1)C2=C(C=C(C=C2)O)O)C3=CC=C(C=C3)OC
405554-55-4,135421339,CN(C)CCOC1=CC=C(C=C1)C2=NC(=C(N2)C3=CC=NC=C3)C4=CC5=C(C=C4)/C(=N/O)/CC5
409345-29-5,11313361,COC1CCC(CC1)C(=O)C2=CC3=CC4=C(N=C3C=C2)OCCC4
431979-47-4,1317464,CCOC1=C(C(=CC(=C1)/C=C/2\C(=NN(C2=O)C3=CC=CC=C3)C)Cl)OCC(=O)OC
445430-58-0,9813758,CC1=CC2=C(C=C1)N=C(C3=NC=C(N23)C)NCCN
451492-95-8,9806229,CC(C)(C#CC1=CC2=C(C=C1NC(=O)C=C)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)N4CCN(CC4)C
473382-39-7,10271028,CC(C)(CNC1=NN2C(=NN=C2C3=CC=CC=C3)C=C1C4CCC4)CN(C)C
494772-86-0,9968854,C1COCCN1CC2=CC=C(C=C2)C3=CC(=C(S3)C(=O)N)NC(=O)N
4MU8C,12934390,CC1=CC(=O)OC2=C1C=CC(=C2C=O)O
5-(((5-chloro-2-Methylpyridin-3-yl)aMino)Methyl)-N-(3-cyclopentyl-1-(cyclopropylaMino)-1-oxopropan-2-yl)thiophene-2-carboxaMide,70983934,CC1=C(C=C(C=N1)Cl)NCC2=CC=C(S2)C(=O)NC(CC3CCCC3)C(=O)NC4CC4
5-Azacitidine,9444,C1=NC(=NC(=O)N1[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)N
5-FLUORO-2\'-DEOXYURIDINE,44403842,C1C(C(OC1N2CC(C(=O)NC2=O)F)CO)O
5-FU,3385,C1=C(C(=O)NC(=O)N1)F
5-Hydroxytryptophan,144,C1=CC2=C(C=C1O)C(=CN2)CC(C(=O)O)N
"5-[2-(4-hydroxyphenyl)vinyl]benzene-1,3-diol",5056,C1=CC(=CC=C1C=CC2=CC(=CC(=C2)O)O)O
5-chloro-N-((2-oxo-3-(4-(3-oxomorpholino)phenyl)oxazolidin-5-yl)methyl)thiophene-2-carboxamide,6433119,C1COCC(=O)N1C2=CC=C(C=C2)N3CC(OC3=O)CNC(=O)C4=CC=C(S4)Cl
5-hydroxy-L-tryptophan,439280,C1=CC2=C(C=C1O)C(=CN2)C[C@@H](C(=O)O)N
54-62-6,169371,C1=CC(=CC=C1C(=O)N[C@@H](CCC(=O)O)C(=O)O)NCC2=CN=C3C(=N2)C(=NC(=N3)N)N
56990-57-9,92577,C1=CC2=C(C=C(C(=C2N=C1)O)N=NC3=CC4=C(C=C3)C=C(C=C4)S(=O)(=O)O)S(=O)(=O)O
57-22-7,5978,CC[C@@]1(C[C@@H]2C[C@@](C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)[C@]78CCN9[C@H]7[C@@](C=CC9)([C@H]([C@@]([C@@H]8N6C=O)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O
58131-57-0,42640,CN1CCN(CC1)C2=CC=C(C3=NO[N+](=C23)[O-])[N+](=O)[O-]
5852-78-8,459617,C1=CC2=C(C=CC(=C2N=C1)O)C(=O)O
"6-(7-hydroxy-6,7-dihydro-5H-pyrrolo[1,2-c]imidazol-7-yl)-N-methyl-2-naphthamide",9883029,CNC(=O)C1=CC2=C(C=C1)C=C(C=C2)C3(CCN4C3=CN=C4)O
6-Bromoindirubin-3'-acetoxime,135398521,CC(=O)O/N=C/1\C2=CC=CC=C2N=C1C3=C(NC4=C3C=CC(=C4)Br)O
6-HYDROXYBUSPIRONE,9930913,C1CCC2(C1)CC(=O)N(C(=O)C2O)CCCCN3CCN(CC3)C4=NC=CC=N4
6-mercaptopurine,667490,C1=NC2=C(N1)C(=S)N=CN2
626222-24-0,1005654,CC1=CSC(=N1)NC(=O)C2=C(C3=C(C4=C(CCC4)N=C3S2)C(F)(F)F)N
658084-64-1,6914657,C1CN(CCC1CCCCNC(=O)/C=C/C2=CN=CC=C2)C(=O)C3=CC=CC=C3
664969-54-4,1213452,C1CN(CCN1C/C=C/C2=CC=CC=C2)C(=S)NC3=CC=C(C=C3)S(=O)(=O)N
667463-62-9,448949,C1=CC=C2C(=C1)C(=C(N2)C3=C(NC4=C3C=CC(=C4)Br)O)N=O
67469-78-7,104920,C1CN(CCN1CCCC2=CC=CC=C2)CCOC(C3=CC=C(C=C3)F)C4=CC=C(C=C4)F.Cl.Cl
7-Aminocephalosporanic acid,441328,CC(=O)OCC1=C(N2[C@@H]([C@@H](C2=O)N)SC1)C(=O)O
7-Hydroxystaurosporine,72271,C[C@@]12[C@@H]([C@@H](C[C@@H](O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)[C@H](NC6=O)O)NC)OC
71555-25-4,5351307,C/C(=N\NC(=S)N1CCC1)/C2=CC=CC=N2
717906-29-1,11598628,CN(C1=CC=CC=C1CNC2=NC(=NC=C2C(F)(F)F)NC3=CC4=C(C=C3)NC(=O)C4)S(=O)(=O)C
8-AZAGUANINE,135403646,C12=NNN=C1N=C(NC2=O)N
8-Cl-Ado,147569,C1=NC(=C2C(=N1)N(C(=N2)Cl)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)N
80306-38-3,44250175,CC1=CC=C(C=C1)C2=NC3=C(C=C(C=C3)Cl)OC2
803712-67-6,11404337,CC1=CC(=C(N1)/C=C\2/C(=C/C(=C/3\C=C4C=CC=CC4=N3)/N2)OC)C
827031-83-4,11414799,CC1=NC2=CC=CC=C2C(=N1)N(C)C3=CC=C(C=C3)OC
842166X,10253143,C1COCCC1CNC(=O)C2=CN=C(N=C2C(F)(F)F)NC3=C(C=C(C=C3)Cl)Cl
849675-66-7,11399764,COC1=C(C=C2CN(CCC2=C1)CCC3=CC=C(C=C3)N4N=C(N=N4)C5=CC(=C(C=C5NC(=O)C6=CC(=O)C7=CC=CC=C7O6)OC)OC)OC
852918-02-6,4787937,C1=CC=C(C=C1)C(=O)NNC(=O)C2=CC=C(C=C2)CNS(=O)(=O)C3=CC(=C(C=C3)F)Cl
853910-02-8,24882589,CC1=NC2=CN=C3C=CC(=CC3=C2N1C4=CC=C(C=C4)C(C)(C)C#N)C#CC5=CN=CC=C5
859853-30-8,11349170,COC1=CC=CC(=C1)NC2=NC=NN3C2=C(C=C3)CN4CC[C@H]([C@@H](C4)O)N
866323-14-0,6918638,C1=CC=C(C=C1)NS(=O)(=O)C2=CC=CC(=C2)/C=C/C(=O)NO
867331-82-6,11973736,CC1=CC(=CC2=C1N=C(N=N2)NC3=CC=C(C=C3)OCCN4CCCC4)C5=C(C=CC(=C5)OC(=O)C6=CC=CC=C6)Cl
868224-64-0,4076092,CCOC(=O)C(C)OC1=CC=CC2=C1C=CN(C2=O)CC(=O)NC3=CC4=C(C=C3)OCCO4
876310-02-0,53398697,CCOC1=C(C=C2C(=C1)N=CC(=C2NC3=CC(=C(C=C3)OCC4=CC=CC=N4)Cl)C#N)NC(=O)C=CCN(C)C
882531-87-5,135398512,CC1=C2C(=NN1)NC3=CC(=C(C=C3C(=N2)C4=CC=CC=C4Cl)F)OC
885060-08-2,46189838,CN(C(=O)N1[C@@](SC(=N1)C2=C(C=CC(=C2)F)F)(CCCN)C3=CC=CC=C3)OC
888719-03-7,21081761,C1=CN(C(=O)C(=C1)C(=O)NC2=CC(=C(C=C2)OC3=C4C=CNC4=NC=C3)F)C5=CC=C(C=C5)F
891494-64-7,46239014,CN1C=C(C=N1)C2=C3N=C(C(=C(N3N=C2)N)Br)[C@H]4CCCNC4
89565-68-4,656665,CN1[C@@H]2CC[C@H]1CC(C2)OC(=O)C3=CNC4=CC=CC=C43
9-CIS-RETINOIC ACID,449171,CC1=C(C(CCC1)(C)C)/C=C/C(=C\C=C\C(=C\C(=O)O)\C)/C
9-cis Acitretin,29971118,CC1=CC(=C(C(=C1/C=C/C(=C\C=C\C(=C\C(=O)O)\C)/C)C)C)OC
900515-16-4,11630874,C1=CC(=C(C=C1F)O)C2=CC=C(O2)/C=C\3/C(=O)NC(=O)S3
905579-51-3,16720766,C1CC2=CC=CC=C2[C@H]1NC3=C4C=CN(C4=NC=N3)[C@@H]5C[C@H]([C@H](C5)O)COS(=O)(=O)N
909910-43-6,16218924,CC1=NC(=CC=C1)C2=NN(C=C2C3=CC=NC4=CC=CC=C34)C(=S)NC5=CC=CC=C5
